Endpoint,Method,Description,Headers,QueryParams,Body,Auth,ExpectedResponse
api/auth/send-code/email,POST,Send verification code to email,Content-Type: application/json; Accept: application/json,,"email string Поле ""value"" должно быть действительным электронным адресом. Example: master@test.com",No,"{""message"": ""info message"", ""type"": ""primary""}"
api/auth/send-code/phone,POST,Send verification code to phone,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,"phone string Длина цифрового поля ""value"" должна быть 11. Must match the regex /^7/. Example: 7",Bearer Token,"{""message"": ""info message"", ""type"": ""primary""}"
api/auth/register,POST,Register new user and company,Content-Type: application/json; Accept: application/json,,"user object optional; company object optional; code string Длина цифрового поля ""value"" должна быть 6. Example: 051089",No,"{""data"": {""id"": 7, ""role"": ""master"", ""avatar_url"": null, ""surname"": ""master"", ""name"": ""master"", ""patronymic"": ""master"", ""email"": ""master@test.com"", ""email_verified_at"": null, ""phone"": null, ""phone_verified_at"": null, ""status"": ""active"", ""is_hidden"": false, ""created_at"": null, ""updated_at"": null, ""departments"": []}, ""token"": ""<token>""}"
api/auth/login,POST,Login user,Content-Type: application/json; Accept: application/json,,"login string Поле ""value"" должно быть не короче 3 символов. Example: odzzdcjkpvxmdgg; password string Поле ""value"" должно быть не короче 8 символов. Поле ""value"" должно быть не длиннее 32 символов. Example: $i,v24z1P@+nnC""_C8&",No,"{""token"": ""bearer token""}"
api/auth/password-reset-request,POST,Request password reset,Content-Type: application/json; Accept: application/json,,"email string Поле ""value"" должно быть действительным электронным адресом. Example:master@test.com",No,"{""message"": ""info message"", ""type"": ""bootstrap type""}"
api/auth/password-reset,POST,Reset password,Content-Type: application/json; Accept: application/json,,"email string Поле ""value"" должно быть действительным электронным адресом. Example: master@test.com; code string Длина цифрового поля ""value"" должна быть 6. Example: 117833; password string Поле ""value"" должно быть не короче 8 символов. Поле ""value"" должно быть не длиннее 32 символов. Example: UB;'AHx; password_confirm string The value and password must match. Example: cum",No,"{""message"": ""info message""}"
api/auth/logout,POST,Logout user,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,
api/billing/webhook,POST,Billing webhook,Content-Type: application/json; Accept: application/json,,,No,"{""message"": ""OK""}"
api/billing/balance,GET,Get billing balance,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""balance"": 15}}"
api/billing/check-payment/{payment_id},GET,Check payment status,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,payment_id UUID платежа Example: ratione,payment_id string Must be a valid UUID. Example: 40703991-6174-3fed-b03c-66e8f281e6eb,Bearer Token,"""ok"""
api/billing/top-up,POST,Top up balance,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,"amount integer, сумма в копейках (мин. 100) Example: 100; tariff_id string, ID тарифа (опционально) Example: s-s; promo_code string, промокод (опционально) Example: PROMO10",Bearer Token,"{""data"": {""url"": ""https://yookassa.ru/redirect-url""}}"
api/billing/subscription-buy,POST,Buy subscription,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,tariff_id string ID тарифа Example: s-s; period_key string ключ периода Example: 30days; auto_renew bool автопродление (nullable) Example: ut; promo_code string промокод (nullable) Example: ipsa,Bearer Token,"""ok"""
api/billing/onboarding-status,GET,Get onboarding status,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,department_id integer optional Example: 5,,Bearer Token,"{""data"": {""show_onboarding"": false}}"
api/billing/complete-onboarding,POST,Complete onboarding,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"""ok"""
api/billing/current-tariff,GET,Get current tariff,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""tariff_id"": ""sr-s"", ""started_at"": ""2025-08-05T21:00:00Z"", ""finished_at"": ""2025-08-28T20:59:59Z"", ""auto_renew"": true}}"
api/billing/check-promo,POST,Check promo code,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,tariff_id string ID тарифа Example: s-s; period_key string ключ периода Example: 30days; promo_code string промокод Example: PROMO10,Bearer Token,"{""data"":{""full_price"":""5000""""discount_percent"":10,""discount"":500,""final_price"":4500}}"
api/billing/saved-payments,GET,Get saved payments,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": [{""id"": 123, ""card_last_digits"": ""4242"", ""card_expiry_date"": ""12/25"", ""card_type"": ""visa"", ""active"": true}]}"
api/billing/saved-payments/{payment_id},PATCH,Update saved payment,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,payment_id ID сохранённого метода оплаты Example: facilis,"payment_id string Example: maxime; active boolean, включён/отключён Example: true",Bearer Token,"{""data"": {""id"": 123, ""card_last_digits"": ""4242"", ""active"": false}}"
api/billing/subscription/auto-renew,PATCH,Update auto renew,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,"auto_renew boolean, автопродление Example: true",Bearer Token,"{""data"": {""auto_renew"": true}}"
api/billing/tariffs,GET,Get tariffs,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"[{""id"": ""s-s"", ""prices"": {""30days"": 5590}, ""is_upgrade_allowed"": true}, {""id"": ""sr-s"", ""prices"": {""30days"": 17990}, ""is_upgrade_allowed"": true}]"
api/billing/subscription/submode,PATCH,Update subscription submode,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,tariff_id string Новый подрежим тарифа Example: srm-srm,Bearer Token,"{""data"": {""tariff_id"": ""srm-srm"", ""started_at"": ""2025-09-01T00:00:00Z"", ""finished_at"": ""2025-09-30T23:59:59Z"", ""auto_renew"": true}}"
api/billing/history,GET,Get billing history,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,page integer optional Номер страницы Example: 1; per_page integer optional Элементов на страницу Example: 20; status string optional Фильтр по статусу Example: succeeded; date_from string optional Дата с (YYYY-MM-DD) Example: 2025-09-01; date_to string optional Дата по (YYYY-MM-DD) Example: 2025-09-31; without_pagination boolean optional Без пагинации Example: false,"page integer optional Поле ""value"" должно быть не менее 1. Example: 30; per_page integer optional Поле ""value"" должно быть не менее 1. Поле ""value"" должно быть не больше 100. Example: 21; status string optional Example: succeeded Must be one of: succeeded failed pending waiting_for_capture canceled; date_from string optional Поле ""value"" не является датой. Must be a valid date in the format Y-m-d. Example: 2025-11-01; date_to string optional Поле ""value"" не является датой. Must be a valid date in the format Y-m-d. Поле ""value"" должно быть датой после или равной ""date_from"". Example: 2115-04-05; without_pagination boolean optional Example: false",Bearer Token,"{""data"": [{""id"": 1, ""date"": ""2023-10-01T12:00:00Z"", ""payment_method"": ""Visa ***4242"", ""tariff"": ""srm-srm"", ""amount"": ""1000.00"", ""status"": ""succeeded""}], ""meta"": {""current_page"": 1, ""per_page"": 20, ""total"": 100}}"
